date,team_1,team_2,_map,result_1,result_2,map_winner,
2019-04-26,DETONA,Denial,Overpass,28,24,1,
2019-04-26,Isurus,Infinity,Mirage,16,9,1,
2019-04-26,EHOME,IPET,Mirage,16,11,1,
2019-04-26,AGO,Nemiga,Nuke,13,16,2,
2019-04-26,Nemiga,HAVU,Mirage,16,12,1,
2019-04-26,FURIA,Luminosity,Inferno,16,11,1,
2019-04-26,FURIA,Luminosity,Overpass,16,7,1,
2019-04-26,FURIA,Luminosity,Cache,15,19,2,
2019-04-26,OpTic,AVANGAR,Overpass,11,16,2,
2019-04-26,OpTic,AVANGAR,Train,16,11,1,
2019-04-26,OpTic,AVANGAR,Dust2,16,14,1,
2019-04-26,AGO,Nemiga,Overpass,19,22,2,
2019-04-26,GamerLegion,Epsilon,Mirage,16,14,1,
2019-04-26,GamerLegion,Epsilon,Overpass,16,12,1,
2019-04-26,Nemiga,HAVU,Inferno,10,16,2,
2019-04-26,Nemiga,HAVU,Dust2,22,18,1,
2019-04-25,SJ,OwmS,Nuke,16,6,1,
2019-04-25,Tricked,NoChance,Vertigo,9,16,2,
2019-04-25,Tricked,NoChance,Overpass,14,16,2,
2019-04-25,Infinity,Denial,Mirage,19,17,1,
2019-04-25,Infinity,Denial,Inferno,14,16,2,
2019-04-25,Infinity,Denial,Train,16,4,1,
2019-04-25,FURIA,Luminosity,Overpass,17,19,2,
2019-04-25,FURIA,Luminosity,Cache,16,14,1,
2019-04-25,INTZ,Singularity,Inferno,11,16,2,
2019-04-25,FURIA,Luminosity,Inferno,16,5,1,
2019-04-25,Isurus,DETONA,Mirage,14,16,2,
2019-04-25,Isurus,DETONA,Dust2,16,12,1,
2019-04-25,Isurus,DETONA,Inferno,8,16,2,
2019-04-25,Reapers,Bulldozer,Inferno,12,16,2,
2019-04-25,INTZ,Singularity,Cache,16,5,1,
2019-04-25,INTZ,Singularity,Mirage,16,9,1,
2019-04-25,AVANGAR,Epsilon,Train,16,11,1,
2019-04-25,Unicorns of Love,expert,Cache,16,5,1,
2019-04-25,Movistar Riders,Epsilon,Train,11,16,2,
2019-04-25,AVANGAR,Epsilon,Dust2,16,8,1,
2019-04-25,forZe,Valiance,Mirage,5,16,2,
2019-04-25,Astralis,BIG,Dust2,16,10,1,
2019-04-25,Astralis,BIG,Inferno,17,19,2,
2019-04-25,OpTic,G2,Dust2,16,11,1,
2019-04-25,Copenhagen Flames,GoldenGitte,Train,16,3,1,
2019-04-25,Copenhagen Flames,GoldenGitte,Mirage,9,16,2,
2019-04-25,Copenhagen Flames,GoldenGitte,Overpass,8,16,2,
2019-04-25,forZe,Valiance,Nuke,1,16,2,
2019-04-25,forZe,Valiance,Inferno,16,13,1,
2019-04-25,Astralis,BIG,Overpass,16,14,1,
2019-04-25,Vitality,Virtus.pro,Nuke,16,10,1,
2019-04-25,GoldenGitte,Jordan's Money Crew,Overpass,13,16,2,
2019-04-25,GoldenGitte,Jordan's Money Crew,Train,16,13,1,
2019-04-25,GoldenGitte,Jordan's Money Crew,Inferno,16,2,1,
2019-04-25,HellRaisers,ex-3DMAX,Nuke,16,10,1,
2019-04-25,HellRaisers,ex-3DMAX,Train,16,6,1,
2019-04-25,OpTic,G2,Inferno,19,17,1,
2019-04-25,Vitality,Virtus.pro,Overpass,16,7,1,
2019-04-24,Isurus,Denial,Overpass,16,2,1,
2019-04-24,DETONA,Infinity,Inferno,16,9,1,
2019-04-24,Luminosity,Party Astronauts,Mirage,16,13,1,
2019-04-24,Singularity,iNTACT,Overpass,16,12,1,
2019-04-24,FURIA,Variance,Overpass,16,9,1,
2019-04-24,Isurus,Denial,Inferno,16,8,1,
2019-04-24,NoChance,GoldenGitte,Train,16,12,1,
2019-04-24,INTZ,Front,Train,16,3,1,
2019-04-24,GamerLegion,Winstrike,Mirage,11,16,2,
2019-04-24,OpTic,devils.one,Nuke,16,3,1,
2019-04-24,Winstrike,ex-Fragsters,Dust2,16,2,1,
2019-04-24,Grayhound,Chiefs,Overpass,16,8,1,
2019-04-24,DETONA,Infinity,Nuke,16,6,1,
2019-04-24,Astralis,HellRaisers,Dust2,16,4,1,
2019-04-24,Grayhound,Chiefs,Mirage,16,11,1,
2019-04-24,BIG,ex-3DMAX,Mirage,16,13,1,
2019-04-24,AVANT,Ground Zero,Inferno,16,10,1,
2019-04-24,BIG,ex-3DMAX,Dust2,16,10,1,
2019-04-24,OpTic,NoChance,Train,17,19,2,
2019-04-24,OpTic,NoChance,Mirage,16,5,1,
2019-04-24,AVANGAR,Nordavind,Mirage,16,6,1,
2019-04-24,OpTic,NoChance,Overpass,16,7,1,
2019-04-24,Astralis,HellRaisers,Inferno,16,7,1,
2019-04-24,Windigo,Nemiga,Overpass,25,22,1,
2019-04-24,Windigo,Nemiga,Inferno,11,16,2,
2019-04-24,Windigo,Nemiga,Mirage,16,14,1,
2019-04-24,AVANT,Ground Zero,Nuke,16,9,1,
2019-04-23,BIG,HellRaisers,Overpass,8,16,2,
2019-04-23,Grayhound,AVANT,Dust2,19,16,1,
2019-04-23,Grayhound,AVANT,Mirage,16,13,1,
2019-04-23,Chiefs,Ground Zero,Nuke,16,8,1,
2019-04-23,Chiefs,Ground Zero,Dust2,16,8,1,
2019-04-23,SJ,Epsilon,Dust2,17,19,2,
2019-04-23,ALTERNATE aTTaX,Epsilon,Inferno,10,16,2,
2019-04-23,AGO,DreamEaters,Overpass,6,16,2,
2019-04-23,AGO,DreamEaters,Dust2,17,19,2,
2019-04-23,AGO,DreamEaters,Nuke,16,9,1,
2019-04-23,DreamEaters,AGO,Inferno,16,8,1,
2019-04-23,BIG,HellRaisers,Train,8,16,2,
2019-04-23,AVANGAR,PACT,Dust2,16,10,1,
2019-04-23,RED Canids,INTZ.Academy,Overpass,9,16,2,
2019-04-23,NoChance,SJ,Train,16,10,1,
2019-04-23,OpTic,Tricked,Dust2,16,9,1,
2019-04-23,Astralis,ex-3DMAX,Nuke,16,7,1,
2019-04-23,Astralis,ex-3DMAX,Mirage,16,6,1,
2019-04-23,devils.one,Sprout,Nuke,16,14,1,
2019-04-23,WePlayGames,Redemption POA,Mirage,9,16,2,
2019-04-23,Santos,W7M,Overpass,3,16,2,
2019-04-23,BIG,HellRaisers,Mirage,16,9,1,
2019-04-23,GamerLegion,pro100,Mirage,16,13,1,
2019-04-22,Envy,Luminosity,Train,16,9,1,
2019-04-22,Chiefs,AVANT,Nuke,16,10,1,
2019-04-22,Grayhound,Ground Zero,Inferno,16,4,1,
2019-04-22,Grayhound,Ground Zero,Nuke,16,6,1,
2019-04-22,ALTERNATE aTTaX,SJ,Inferno,16,8,1,
2019-04-22,Envy,Luminosity,Inferno,7,16,2,
2019-04-22,Envy,Luminosity,Cache,5,16,2,
2019-04-22,MIBR,Cloud9,Overpass,16,9,1,
2019-04-22,MIBR,Cloud9,Train,16,1,1,
2019-04-22,Chiefs,AVANT,Train,16,13,1,
2019-04-22,NoChance,SJ,Train,16,13,1,
2019-04-22,Epsilon,HAVU,Train,7,16,2,
2019-04-22,Chaos,AGO,Overpass,13,16,2,
2019-04-22,BOOT-d[S],5POWER,Mirage,9,16,2,
2019-04-22,NoChance,SJ,Dust2,16,13,1,
2019-04-22,Epsilon,ALTERNATE aTTaX,Mirage,19,17,1,
2019-04-22,Tricked,Nemiga,Dust2,16,10,1,
2019-04-22,Epsilon,ALTERNATE aTTaX,Inferno,16,13,1,
2019-04-22,Chaos,AGO,Train,8,16,2,
2019-04-22,ALTERNATE aTTaX,HAVU,Mirage,7,16,2,
2019-04-22,BOOT-d[S],5POWER,Inferno,9,16,2,
2019-04-22,BOOT-d[S],5POWER,Train,16,8,1,
2019-04-21,TYLOO,ViCi,Mirage,16,9,1,
2019-04-21,5POWER,EHOME,Inferno,16,7,1,
2019-04-21,Sharks,FURIA,Inferno,13,16,2,
2019-04-21,MVP PK,5POWER,Dust2,16,7,1,
2019-04-21,MVP PK,5POWER,Train,16,7,1,
2019-04-21,TYLOO,ViCi,Dust2,16,1,1,
2019-04-21,MIBR,Envy,Train,16,4,1,
2019-04-21,Cloud9,Luminosity,Dust2,16,11,1,
2019-04-21,Cloud9,Luminosity,Inferno,14,16,2,
2019-04-21,Cloud9,Luminosity,Mirage,16,12,1,
2019-04-21,MIBR,Envy,Cache,16,14,1,
2019-04-21,5POWER,EHOME,Dust2,22,20,1,
2019-04-21,5POWER,EHOME,Nuke,13,16,2,
2019-04-21,Sharks,FURIA,Vertigo,4,16,2,
2019-04-21,AVANGAR,Valiance,Dust2,16,12,1,
2019-04-21,Natus Vincere,fnatic,Nuke,16,11,1,
2019-04-21,AVANGAR,Valiance,Inferno,10,16,2,
2019-04-21,G2,Windigo,Dust2,16,13,1,
2019-04-21,FURIA,AVANGAR,Vertigo,16,2,1,
2019-04-21,FURIA,AVANGAR,Inferno,8,16,2,
2019-04-21,FURIA,AVANGAR,Train,16,19,2,
2019-04-21,G2,Windigo,Inferno,16,4,1,
2019-04-21,Natus Vincere,fnatic,Overpass,8,16,2,
2019-04-21,Natus Vincere,fnatic,Inferno,16,13,1,
2019-04-21,DreamEaters,Vaevictis,Inferno,16,11,1,
2019-04-21,DreamEaters,Vaevictis,Mirage,16,12,1,
2019-04-21,G2,Windigo,Train,20,22,2,
2019-04-21,AVANGAR,Valiance,Train,16,12,1,
2019-04-20,Besiktas,Lazarus fe,Inferno,16,10,1,
2019-04-20,ViCi,5POWER,Dust2,9,16,2,
2019-04-20,ViCi,5POWER,Nuke,16,9,1,
2019-04-20,ViCi,5POWER,Mirage,16,12,1,
2019-04-20,Tricked,forZe,Inferno,7,16,2,
2019-04-20,Tricked,forZe,Dust2,7,16,2,
2019-04-20,Copenhagen Flames,Vulkanbet,Train,13,16,2,
2019-04-20,Copenhagen Flames,Vulkanbet,Vertigo,11,16,2,
2019-04-20,TYLOO,MVP PK,Inferno,16,7,1,
2019-04-20,TYLOO,MVP PK,Mirage,22,20,1,
2019-04-20,AVANGAR,INTZ,Mirage,16,8,1,
2019-04-20,Besiktas,Lazarus fe,Mirage,16,5,1,
2019-04-20,CLG Red,PENSIONERS+2,Overpass,16,8,1,
2019-04-20,CLG Red,PENSIONERS+2,Train,16,2,1,
2019-04-20,Cloud9,Envy,Inferno,16,8,1,
2019-04-20,Cloud9,Envy,Mirage,16,11,1,
2019-04-20,Valiance,Sharks,Train,12,16,2,
2019-04-20,CLG Red,Besiktas,Inferno,16,12,1,
2019-04-20,MIBR,Luminosity,Inferno,7,16,2,
2019-04-20,MIBR,Luminosity,Train,8,16,2,
2019-04-20,Sharks,Redemption POA,Train,16,9,1,
2019-04-20,FURIA,INTZ,Mirage,11,16,2,
2019-04-20,Dignitas fe,Assassins,Inferno,12,16,2,
2019-04-20,Dignitas fe,Assassins,Nuke,4,16,2,
2019-04-20,CLG Red,Besiktas,Train,16,13,1,
2019-04-20,Natus Vincere,G2,Overpass,9,16,2,
2019-04-20,fnatic,Windigo,Train,16,10,1,
2019-04-20,fnatic,Windigo,Mirage,13,16,2,
2019-04-20,fnatic,Windigo,Nuke,16,12,1,
2019-04-20,CLG Red,Besiktas,Mirage,8,16,2,
2019-04-20,Valiance,W7M,Nuke,16,8,1,
2019-04-20,forZe,Sprout,Nuke,15,19,2,
2019-04-20,forZe,Sprout,Mirage,16,11,1,
2019-04-20,forZe,Sprout,Inferno,16,8,1,
2019-04-20,Natus Vincere,G2,Nuke,14,16,2,
2019-04-20,Natus Vincere,G2,Train,16,11,1,
2019-04-20,Valiance,W7M,Inferno,16,7,1,
2019-04-20,INTZ,FURIA,Nuke,3,16,2,
2019-04-20,Movistar Riders,Sprout,Nuke,10,16,2,
2019-04-20,INTZ,FURIA,Train,4,16,2,
2019-04-20,eUnited,FURIA,Nuke,8,16,2,
2019-04-20,Movistar Riders,Sprout,Inferno,12,16,2,
2019-04-20,Movistar Riders,Sprout,Vertigo,16,11,1,
2019-04-20,eUnited,FURIA,Inferno,13,16,2,
2019-04-20,W7M,Redemption POA,Inferno,16,8,1,
2019-04-20,W7M,Redemption POA,Overpass,16,0,1,
2019-04-20,Assassins,CLG Red,Nuke,5,16,2,
2019-04-20,Assassins,CLG Red,Train,10,16,2,
2019-04-19,Tricked,Söderberg & Partners,Mirage,16,5,1,
2019-04-19,Ambush,forZe,Train,10,16,2,
2019-04-19,TYLOO,5POWER,Dust2,14,16,2,
2019-04-19,TYLOO,5POWER,Mirage,16,9,1,
2019-04-19,TYLOO,5POWER,Inferno,12,16,2,
2019-04-19,EHOME,BOOT-d[S],Dust2,16,5,1,
2019-04-19,EHOME,BOOT-d[S],Inferno,14,16,2,
2019-04-19,EHOME,BOOT-d[S],Nuke,13,16,2,
2019-04-19,Complexity,Lazarus,Nuke,16,13,1,
2019-04-19,Tricked,Söderberg & Partners,Dust2,16,11,1,
2019-04-19,Epsilon,Ambush,Overpass,16,4,1,
2019-04-19,Epsilon,Ambush,Mirage,16,2,1,
2019-04-19,Complexity,Lazarus,Mirage,19,17,1,
2019-04-19,Liquid,Ghost,Mirage,16,3,1,
2019-04-19,Liquid,Ghost,Dust2,16,10,1,
2019-04-19,Sprout,Söderberg & Partners,Nuke,19,16,1,
2019-04-19,Sprout,Söderberg & Partners,Inferno,16,10,1,
2019-04-19,Ambush,forZe,Inferno,14,16,2,
2019-04-19,Epsilon,Movistar Riders,Inferno,6,16,2,
2019-04-19,Movistar Riders,Ambush,Inferno,16,4,1,
2019-04-19,fnatic,G2,Nuke,11,16,2,
2019-04-19,fnatic,G2,Inferno,17,19,2,
2019-04-19,Valiance,W7M,Mirage,16,13,1,
2019-04-19,Natus Vincere,Windigo,Overpass,20,22,2,
2019-04-19,Natus Vincere,Windigo,Dust2,16,14,1,
2019-04-19,Sprout,Tricked,Overpass,6,16,2,
2019-04-19,Sprout,Tricked,Mirage,14,16,2,
2019-04-19,Natus Vincere,Windigo,Train,16,12,1,
2019-04-19,Movistar Riders,Ambush,Overpass,16,11,1,
2019-04-19,Epsilon,forZe,Mirage,13,16,2,
2019-04-19,AVANGAR,eUnited,Inferno,25,23,1,
2019-04-19,ViCi,MVP PK,Inferno,11,16,2,
2019-04-19,ViCi,MVP PK,Overpass,14,16,2,
2019-04-19,Epsilon,Movistar Riders,Vertigo,10,16,2,
2019-04-19,Epsilon,Movistar Riders,Mirage,16,2,1,
2019-04-19,Epsilon,forZe,Inferno,4,16,2,
2019-04-18,Singularity,Nova,Vertigo,16,9,1,
2019-04-18,BOOT-d[S],Lucid Dream,Nuke,22,20,1,
2019-04-18,Virtus.pro,Nemiga,Inferno,12,16,2,
2019-04-18,DreamEaters,Giants,Dust2,16,13,1,
2019-04-18,Apeks,Ambush,Vertigo,12,16,2,
2019-04-18,Singularity,Nova,Overpass,16,9,1,
2019-04-18,Monarchs,Defusekids,Inferno,16,13,1,
2019-04-18,Monarchs,Defusekids,Overpass,16,8,1,
2019-04-18,BOOT-d[S],Lucid Dream,Mirage,11,16,2,
2019-04-18,BOOT-d[S],Lucid Dream,Dust2,7,16,2,
2019-04-18,Liquid,Complexity,Inferno,16,3,1,
2019-04-18,Nemiga,LDLC,Inferno,16,4,1,
2019-04-18,Breakaway,Chiefs,Inferno,10,16,2,
2019-04-18,Breakaway,Chiefs,Train,5,16,2,
2019-04-18,Breakaway,Chiefs,Mirage,5,16,2,
2019-04-18,Ghost,Lazarus,Inferno,16,11,1,
2019-04-18,Ghost,Lazarus,Overpass,16,11,1,
2019-04-18,Liquid,Complexity,Cache,12,16,2,
2019-04-18,Liquid,Complexity,Dust2,16,2,1,
2019-04-18,Virtus.pro,x-kom,Train,16,9,1,
2019-04-18,Apeks,Ambush,Overpass,10,16,2,
2019-04-18,FaZe,NiP,Dust2,16,4,1,
2019-04-18,Virtus.pro,x-kom,Nuke,31,29,1,
2019-04-18,Chaos,Ambush,Inferno,14,16,2,
2019-04-18,Singularity,Söderberg & Partners,Nuke,19,17,1,
2019-04-18,Singularity,Söderberg & Partners,Mirage,12,16,2,
2019-04-18,Singularity,Söderberg & Partners,Vertigo,10,16,2,
2019-04-18,Heroic,devils.one,Train,14,16,2,
2019-04-18,Heroic,devils.one,Nuke,22,18,1,
2019-04-18,Movistar Riders,Copenhagen Flames,Nuke,16,5,1,
2019-04-18,Movistar Riders,Copenhagen Flames,Overpass,16,13,1,
2019-04-18,Chaos,Ambush,Vertigo,14,16,2,
2019-04-18,Chaos,Ambush,Dust2,16,10,1,
2019-04-18,Heroic,devils.one,Overpass,16,13,1,
2019-04-18,Epsilon,Virtus.pro,Mirage,16,12,1,
2019-04-18,Vulkanbet,GODSENT,Nuke,14,16,2,
2019-04-18,Vulkanbet,GODSENT,Overpass,10,16,2,
2019-04-18,Copenhagen Flames,Nordavind,Overpass,12,16,2,
2019-04-18,Copenhagen Flames,Nordavind,Train,16,6,1,
2019-04-18,Copenhagen Flames,Nordavind,Vertigo,16,9,1,
2019-04-18,Movistar Riders,Monarchs,Train,16,10,1,
2019-04-18,Movistar Riders,Monarchs,Overpass,16,12,1,
2019-04-18,FaZe,NiP,Mirage,16,14,1,
2019-04-18,Epsilon,Virtus.pro,Train,16,12,1,
2019-04-17,Genuine,Breakaway,Mirage,10,16,2,
2019-04-17,BOOT-d[S],Alpha Red,Dust2,3,16,2,
2019-04-17,BOOT-d[S],Alpha Red,Train,14,16,2,
2019-04-17,Windigo,NoChance,Overpass,16,10,1,
2019-04-17,Windigo,NoChance,Mirage,19,16,1,
2019-04-17,ex-3DMAX,Nemiga,Mirage,16,9,1,
2019-04-17,Liquid,Lazarus,Nuke,16,2,1,
2019-04-17,Genuine,Breakaway,Train,7,16,2,
2019-04-17,Ghost,Complexity,Mirage,16,19,2,
2019-04-17,Ghost,Complexity,Overpass,16,13,1,
2019-04-17,Ghost,Complexity,Nuke,19,15,1,
2019-04-17,Liquid,Lazarus,Overpass,16,4,1,
2019-04-17,Chiefs,Athletico,Nuke,16,12,1,
2019-04-17,BOOT-d[S],Alpha Red,Mirage,16,14,1,
2019-04-17,LDLC,Virtus.pro,Nuke,12,16,2,
2019-04-17,NiP,devils.one,Nuke,17,19,2,
2019-04-17,FaZe,Heroic,Overpass,16,8,1,
2019-04-17,NiP,devils.one,Overpass,16,10,1,
2019-04-17,Chiefs,Athletico,Dust2,16,14,1,
2019-04-17,paiN,RED Canids,Nuke,16,14,1,
2019-04-17,Queso,Giants,Vertigo,16,14,1,
2019-04-17,Queso,Giants,Inferno,14,16,2,
2019-04-17,NiP,devils.one,Mirage,13,16,2,
2019-04-17,Queso,Giants,Dust2,12,16,2,
2019-04-17,FaZe,Heroic,Dust2,11,16,2,
2019-04-17,FaZe,Heroic,Mirage,16,8,1,
2019-04-17,ex-3DMAX,Virtus.pro,Nuke,19,17,1,
2019-04-17,Lucid Dream,Entity,Mirage,16,4,1,
2019-04-17,Lucid Dream,Entity,Nuke,16,3,1,
2019-04-17,Chiefs,Athletico,Mirage,16,19,2,
2019-04-16,Nordavind,SJ,Overpass,12,16,2,
2019-04-16,Alpha Red,EHOME,Nuke,16,13,1,
2019-04-16,Alpha Red,EHOME,Mirage,16,5,1,
2019-04-16,BOOT-d[S],Entity,Inferno,16,2,1,
2019-04-16,BOOT-d[S],Entity,Mirage,16,2,1,
2019-04-16,5POWER,EHOME,Nuke,11,16,2,
2019-04-16,5POWER,EHOME,Inferno,11,16,2,
2019-04-16,The Quest,The Fundamentals,Nuke,16,9,1,
2019-04-16,The Quest,The Fundamentals,Inferno,16,7,1,
2019-04-16,Lucid Dream,Alpha Red,Train,16,12,1,
2019-04-16,Nordavind,SJ,Train,7,16,2,
2019-04-16,FaZe,devils.one,Dust2,16,6,1,
2019-04-16,Lucid Dream,Alpha Red,Mirage,16,13,1,
2019-04-16,WePlayGames,Imperial,Dust2,5,16,2,
2019-04-16,NiP,Heroic,Nuke,16,11,1,
2019-04-16,NiP,Heroic,Train,17,19,2,
2019-04-16,Lucid Dream,Alpha Red,Dust2,10,16,2,
2019-04-16,Bulldozer,Santos,Dust2,5,16,2,
2019-04-16,NiP,Heroic,Mirage,16,10,1,
2019-04-16,paiN,INTZ.Academy,Inferno,16,8,1,
2019-04-16,Redemption POA,W7M,Overpass,16,9,1,
2019-04-16,FaZe,devils.one,Train,16,4,1,
2019-04-16,Movistar Riders,expert,Mirage,14,16,2,
2019-04-15,eUnited,INTZ,Overpass,16,11,1,
2019-04-15,ATK,Zone,Inferno,16,6,1,
2019-04-15,ATK,Zone,Train,16,7,1,
2019-04-15,ATK,Zone,Nuke,8,16,2,
2019-04-15,NRG,Renegades,Inferno,3,16,2,
2019-04-15,NRG,Renegades,Train,16,14,1,
2019-04-15,NRG,Renegades,Mirage,12,16,2,
2019-04-15,Sharks,ALTERNATE aTTaX,Dust2,8,16,2,
2019-04-15,eUnited,INTZ,Mirage,16,13,1,
2019-04-15,AGO,Nemiga,Nuke,14,16,2,
2019-04-15,AGO,Nemiga,Overpass,16,11,1,
2019-04-15,Unicorns of Love,Syman,Overpass,8,16,2,
2019-04-15,Sharks,ALTERNATE aTTaX,Inferno,7,16,2,
2019-04-15,DreamEaters,Chaos,Mirage,16,8,1,
2019-04-15,DreamEaters,Chaos,Overpass,22,20,1,
2019-04-15,AGO,Nemiga,Inferno,6,16,2,
2019-04-14,Absolute,BOOM,Mirage,14,16,2,
2019-04-14,Renegades,INTZ,Mirage,16,13,1,
2019-04-14,Renegades,INTZ,Dust2,16,9,1,
2019-04-14,Lucid Dream,Ignis,Train,16,13,1,
2019-04-14,Lucid Dream,Ignis,Dust2,16,10,1,
2019-04-14,ORDER,Chiefs,Nuke,16,14,1,
2019-04-14,Absolute,BOOM,Inferno,10,16,2,
2019-04-14,Athletico,Paradox,Overpass,16,12,1,
2019-04-14,BOOT-d[S],Beyond,Mirage,16,19,2,
2019-04-14,ORDER,Chiefs,Inferno,11,16,2,
2019-04-14,Athletico,Paradox,Mirage,13,16,2,
2019-04-14,BOOM,Beyond,Dust2,8,16,2,
2019-04-14,Athletico,Paradox,Cache,13,16,2,
2019-04-14,MVP PK,ex-Storm Riders,Overpass,16,2,1,
2019-04-14,MVP PK,ex-Storm Riders,Inferno,16,5,1,
2019-04-14,Zone,Chris and the boys,Mirage,22,20,1,
2019-04-14,ORDER,Breakaway,Nuke,16,11,1,
2019-04-14,ORDER,Breakaway,Inferno,6,16,2,
2019-04-14,ORDER,Breakaway,Mirage,16,12,1,
2019-04-14,NRG,eUnited,Dust2,16,13,1,
2019-04-14,NRG,eUnited,Mirage,16,9,1,
2019-04-14,iNTACT,Bad News Bears,Inferno,6,16,2,
2019-04-14,TeamOne,Royal,Mirage,13,16,2,
2019-04-14,ORDER,Chiefs,Overpass,16,14,1,
2019-04-14,BOOT-d[S],Beyond,Inferno,14,16,2,
2019-04-14,BOOM,Beyond,Nuke,8,16,2,
2019-04-14,Vitality,G2,Nuke,16,14,1,
2019-04-14,MVP PK,Lucid Dream,Nuke,5,16,2,
2019-04-14,DETONA,W7M,Overpass,16,9,1,
2019-04-14,DETONA,W7M,Inferno,16,6,1,
2019-04-14,PACT,Chaos,Mirage,13,16,2,
2019-04-14,PACT,Chaos,Dust2,13,16,2,
2019-04-14,Sprout,Vitality,Inferno,12,16,2,
2019-04-14,Sprout,Vitality,Cache,6,16,2,
2019-04-14,Spirit,Heroic,Overpass,9,16,2,
2019-04-14,Spirit,Heroic,Mirage,12,16,2,
2019-04-14,mousesports,North,Train,16,4,1,
2019-04-14,mousesports,North,Mirage,16,5,1,
2019-04-14,DETONA,W7M,Nuke,9,16,2,
2019-04-14,Vitality,G2,Overpass,16,19,2,
2019-04-14,Beyond,Lucid Dream,Dust2,13,16,2,
2019-04-14,MVP PK,Lucid Dream,Mirage,10,16,2,
2019-04-14,TYLOO,Panda,Dust2,16,13,1,
2019-04-14,TYLOO,Panda,Mirage,16,9,1,
2019-04-14,Beyond,Lucid Dream,Nuke,6,16,2,
2019-04-14,Vitality,G2,Cache,16,5,1,
2019-04-14,Epsilon,Sprout,Mirage,10,16,2,
2019-04-14,Winstrike,Nordavind,Mirage,17,19,2,
2019-04-14,Winstrike,Nordavind,Dust2,11,16,2,
2019-04-14,Epsilon,Sprout,Inferno,8,16,2,
2019-04-13,Ignis,2990,Train,16,12,1,
2019-04-13,Renegades,eUnited,Overpass,6,16,2,
2019-04-13,Breakaway,Paradox,Nuke,16,11,1,
2019-04-13,Breakaway,Paradox,Mirage,16,3,1,
2019-04-13,Chiefs,AVANT,Dust2,16,7,1,
2019-04-13,Chiefs,AVANT,Inferno,16,10,1,
2019-04-13,ORDER,Grayhound,Mirage,13,16,2,
2019-04-13,ORDER,Grayhound,Overpass,3,16,2,
2019-04-13,TNC,BOOM,Mirage,17,19,2,
2019-04-13,Breakaway,Chiefs,Dust2,4,16,2,
2019-04-13,Breakaway,Chiefs,Mirage,1,16,2,
2019-04-13,Redemption POA,Reapers,Mirage,16,13,1,
2019-04-13,FrostFire,LDLC,Inferno,14,16,2,
2019-04-13,Renegades,eUnited,Mirage,9,16,2,
2019-04-13,NRG,INTZ,Cache,16,9,1,
2019-04-13,Redemption POA,Reapers,Dust2,11,16,2,
2019-04-13,Redemption POA,Reapers,Cache,16,6,1,
2019-04-13,Breakaway,Paradox,Mirage,19,16,1,
2019-04-13,Breakaway,Paradox,Nuke,16,13,1,
2019-04-13,FrostFire,LDLC,Train,3,16,2,
2019-04-13,NRG,INTZ,Train,16,9,1,
2019-04-13,ORDER,Athletico,Nuke,5,16,2,
2019-04-13,ORDER,Athletico,Inferno,16,5,1,
2019-04-13,Bulldozer,Neverest,Mirage,15,19,2,
2019-04-13,Bulldozer,Neverest,Dust2,16,10,1,
2019-04-13,Cloud9,Liquid,Overpass,14,16,2,
2019-04-13,FaZe,MIBR,Mirage,15,15,2,
2019-04-13,Epsilon,GamerLegion,Inferno,16,11,1,
2019-04-13,FrostFire,LDLC,Mirage,16,13,1,
2019-04-13,Astralis,Natus Vincere,Inferno,16,7,1,
2019-04-13,Astralis,MIBR,Overpass,2,16,2,
2019-04-13,Syman,Spirit,Inferno,11,16,2,
2019-04-13,Liquid,FaZe,Mirage,6,16,2,
2019-04-13,Cloud9,FaZe,Overpass,7,16,2,
2019-04-13,Liquid,FaZe,Dust2,12,16,2,
2019-04-13,Chaos,Ancient,Overpass,16,4,1,
2019-04-13,PACT,Balderisnor,Mirage,16,8,1,
2019-04-13,GamerLegion,G2,Nuke,4,16,2,
2019-04-13,GamerLegion,G2,Overpass,6,16,2,
2019-04-13,Tricked,Heroic,Nuke,7,16,2,
2019-04-13,Ancient,NoChance,Mirage,16,10,1,
2019-04-13,Nemiga,Spirit,Overpass,14,16,2,
2019-04-13,Balderisnor,Unique,Inferno,16,8,1,
2019-04-13,ex-3DMAX,Chaos,Dust2,13,16,2,
2019-04-13,Copenhagen Flames,Heroic,Overpass,7,16,2,
2019-04-13,Tricked,TheDice,Overpass,16,5,1,
2019-04-13,ORDER,Athletico,Mirage,16,11,1,
2019-04-13,Cloud9,Natus Vincere,Overpass,13,16,2,
2019-04-13,mousesports,OpTic,Train,16,11,1,
2019-04-13,G2,Virtus.pro,Train,16,12,1,
2019-04-13,Sprout,LDLC,Dust2,16,10,1,
2019-04-13,MIBR,Cloud9,Cache,16,6,1,
2019-04-13,FaZe,Natus Vincere,Overpass,16,10,1,
2019-04-13,Astralis,Liquid,Overpass,14,16,2,
2019-04-13,G2,Virtus.pro,Nuke,16,7,1,
2019-04-13,mousesports,OpTic,Dust2,4,16,2,
2019-04-13,mousesports,OpTic,Overpass,16,7,1,
2019-04-13,Astralis,FaZe,Dust2,5,16,2,
2019-04-13,Natus Vincere,Liquid,Inferno,12,16,2,
2019-04-13,MIBR,Liquid,Overpass,10,16,2,
2019-04-13,Sprout,LDLC,Train,16,6,1,
